voter_id,candidate,region
1,Alice,North
2,Bob,South
3,Charlie,East
4,Diana,West
5,Eve,Central
6,Frank,North
7,Grace,South
8,Helen,East
9,Ian,West
10,Jack,Central
11,Alice,North
12,Bob,South
13,Charlie,East
14,Diana,West
15,Eve,Central
16,Frank,North
17,Grace,South
18,Helen,East
19,Ian,West
20,Jack,Central
21,Karen,North
22,Alice,North
23,Bob,South
24,Charlie,East
25,Diana,West
26,Eve,Central
27,Frank,North
28,Grace,South
29,Helen,East
30,Ian,West
31,Jack,Central
32,Karen,North
33,Alice,North
34,Bob,South
35,Charlie,East
36,Diana,West
37,Eve,Central
38,Frank,North
39,Grace,South
40,Helen,East
41,Ian,West
42,Jack,Central
43,Karen,North
44,Alice,North
45,Bob,South
46,Charlie,East
47,Diana,West
48,Eve,Central
49,Frank,North
50,Grace,South
51,Helen,East
52,Ian,West
53,Jack,Central
54,Karen,North
55,Alice,North
56,Bob,South
57,Charlie,East
58,Diana,West
59,Eve,Central
60,Frank,North
61,Grace,South
62,Helen,East
63,Ian,West
64,Jack,Central
65,Karen,North
66,Alice,North
67,Bob,South
68,Charlie,East
69,Diana,West
70,Eve,Central
71,Frank,North
72,Grace,South
73,Helen,East
74,Ian,West
75,Jack,Central
76,Karen,North
77,Alice,North
78,Bob,South
79,Charlie,East
80,Diana,West
81,Eve,Central
82,Frank,North
83,Grace,South
84,Helen,East
85,Ian,West
86,Jack,Central
87,Karen,North
88,Alice,North
89,Bob,South
90,Charlie,East
91,Diana,West
92,Eve,Central
93,Frank,North
94,Grace,South
95,Helen,East
96,Ian,West
97,Jack,Central
98,Karen,North
99,Alice,North
100,Bob,South
