voter_id,candidate,region
1,Alice,North
2,Bob,South
3,Charlie,East
4,Diana,West
5,Alice,North
6,Alice,North
7,Eve,Central
8,Frank,Northeast
9,Grace,North
10,Alice,North
11,Bob,South
12,Bob,South
13,Charlie,East
14,Charlie,East
15,Diana,West
16,Diana,West
17,Eve,Central
18,Eve,Central
19,Frank,Northeast
20,Frank,Northeast
21,Grace,North
22,Grace,North
23,Alice,North
24,Alice,North
25,Bob,South
26,Bob,South
27,Charlie,East
28,Diana,West
29,Diana,West
30,Eve,Central
31,Frank,Northeast
32,Grace,North
33,Alice,North
34,Alice,North
35,Bob,South
36,Bob,South
37,Charlie,East
38,Diana,West
39,Eve,Central
40,Frank,Northeast
41,Grace,North
42,Alice,North
43,Alice,North
44,Bob,South
45,Bob,South
46,Charlie,East
47,Diana,West
48,Eve,Central
49,Frank,Northeast
50,Grace,North
51,Alice,North
52,Alice,North
53,Bob,South
54,Bob,South
55,Charlie,East
56,Diana,West
57,Eve,Central
58,Frank,Northeast
59,Grace,North
60,Alice,North
61,Alice,North
62,Bob,South
63,Bob,South
64,Charlie,East
65,Diana,West
66,Eve,Central
67,Frank,Northeast
68,Grace,North
69,Alice,North
70,Alice,North
71,Bob,South
72,Bob,South
73,Charlie,East
74,Diana,West
75,Eve,Central
76,Frank,Northeast
77,Grace,North
78,Alice,North
79,Alice,North
80,Bob,South
81,Bob,South
82,Charlie,East
83,Diana,West
84,Eve,Central
85,Frank,Northeast
86,Grace,North
87,Alice,North
88,Alice,North
89,Bob,South
90,Bob,South
91,Charlie,East
92,Diana,West
93,Eve,Central
94,Frank,Northeast
95,Grace,North
96,Alice,North
97,Alice,North
98,Bob,South
99,Bob,South
100,Charlie,East
101,Diana,West
102,Eve,Central
103,Frank,Northeast
104,Grace,North
105,Alice,North
106,Alice,North
107,Bob,South
108,Bob,South
109,Charlie,East
110,Diana,West
111,Eve,Central
112,Frank,Northeast
113,Grace,North
114,Alice,North
115,Alice,North
116,Bob,South
117,Bob,South
118,Charlie,East
119,Diana,West
120,Eve,Central
121,Frank,Northeast
122,Grace,North
123,Alice,North
124,Alice,North
125,Bob,South
126,Bob,South
127,Charlie,East
128,Diana,West
129,Eve,Central
130,Frank,Northeast
131,Grace,North
132,Alice,North
133,Alice,North
134,Bob,South
135,Bob,South
136,Charlie,East
137,Diana,West
138,Eve,Central
139,Frank,Northeast
140,Grace,North
141,Alice,North
142,Alice,North
143,Bob,South
144,Bob,South
145,Charlie,East
146,Diana,West
147,Eve,Central
148,Frank,Northeast
149,Grace,North
150,Alice,North
151,Alice,North
152,Bob,South
153,Bob,South
154,Charlie,East
155,Diana,West
156,Eve,Central
157,Frank,Northeast
158,Grace,North
159,Alice,North
160,Alice,North
161,Bob,South
162,Bob,South
163,Charlie,East
164,Diana,West
165,Eve,Central
166,Frank,Northeast
167,Grace,North
168,Alice,North
169,Alice,North
170,Bob,South
171,Bob,South
172,Charlie,East
173,Diana,West
174,Eve,Central
175,Frank,Northeast
176,Grace,North
177,Alice,North
178,Alice,North
179,Bob,South
180,Bob,South
181,Charlie,East
182,Diana,West
183,Eve,Central
184,Frank,Northeast
185,Grace,North
186,Alice,North
187,Alice,North
188,Bob,South
189,Bob,South
190,Charlie,East
191,Diana,West
192,Eve,Central
193,Frank,Northeast
194,Grace,North
195,Alice,North
196,Alice,North
197,Bob,South
198,Bob,South
199,Charlie,East
200,Diana,West
201,Eve,Central
202,Frank,Northeast
203,Grace,North
204,Alice,North
205,Alice,North
206,Bob,South
207,Bob,South
208,Charlie,East
209,Diana,West
210,Eve,Central
211,Frank,Northeast
212,Grace,North
213,Alice,North
214,Alice,North
215,Bob,South
216,Bob,South
217,Charlie,East
218,Diana,West
219,Eve,Central
220,Frank,Northeast
221,Grace,North
222,Alice,North
223,Alice,North
224,Bob,South
225,Bob,South
226,Charlie,East
227,Diana,West
228,Eve,Central
229,Frank,Northeast
230,Grace,North
231,Alice,North
232,Alice,North
233,Bob,South
234,Bob,South
235,Charlie,East
236,Diana,West
237,Eve,Central
238,Frank,Northeast
239,Grace,North
240,Alice,North
241,Alice,North
242,Bob,South
243,Bob,South
244,Charlie,East
245,Diana,West
246,Eve,Central
247,Frank,Northeast
248,Grace,North
249,Alice,North
250,Alice,North
251,Bob,South
252,Bob,South
253,Charlie,East
254,Diana,West
255,Eve,Central
256,Frank,Northeast
257,Grace,North
258,Alice,North
259,Alice,North
260,Bob,South
261,Bob,South
262,Charlie,East
263,Diana,West
264,Eve,Central
265,Frank,Northeast
266,Grace,North
267,Alice,North
268,Alice,North
269,Bob,South
270,Bob,South
271,Charlie,East
272,Diana,West
273,Eve,Central
274,Frank,Northeast
275,Grace,North
276,Alice,North
277,Alice,North
278,Bob,South
279,Bob,South
280,Charlie,East
281,Diana,West
282,Eve,Central
283,Frank,Northeast
284,Grace,North
285,Alice,North
286,Alice,North
287,Bob,South
288,Bob,South
289,Charlie,East
290,Diana,West
291,Eve,Central
292,Frank,Northeast
293,Grace,North
294,Alice,North
295,Alice,North
296,Bob,South
297,Bob,South
298,Charlie,East
299,Diana,West
300,Eve,Central
301,Frank,Northeast
302,Grace,North
303,Alice,North
304,Alice,North
305,Bob,South
306,Bob,South
307,Charlie,East
308,Diana,West
309,Eve,Central
